Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
25500	172	52	2	0	1	0	0	125905	5	0	0	107498	2	37117	0	156659	6	25481	0	22369	112045
25750	148	56	0	0	3	0	0	129089	2174	0	0	110303	2	37880	0	162702	7	25640	0	22769	112901
26000	177	61	0	1418	1	0	0	147694	4	0	0	106111	4	37119	0	167023	5	25129	0	21812	110996
26250	109	109	0	0	0	0	1	134244	3	0	0	110267	6	38905	0	169555	69	26562	0	22352	114545
26500	98	81	0	76	2	0	0	135055	3	0	0	110804	10	40335	0	166810	7	26407	0	22629	115261
26750	134	92	0	1	49	0	0	135093	2	0	0	111738	24	38925	0	169470	9	26272	0	23269	114738
27000	144	135	0	0	2	0	0	138016	1	0	0	110533	9	39658	0	171306	6	25838	0	23573	117956
27250	188	112	0	12	2	0	0	143953	16	0	0	106834	5	40235	0	181341	5	27121	0	24029	117449
27500	177	87	0	0	2	0	0	139125	7	20	0	111465	8	39662	0	176934	6	27457	0	25784	117898
27750	148	86	0	1	2	0	0	140319	2	0	13	112228	45	40228	0	175795	4	26702	0	24462	122084
28000	122	124	0	0	0	0	0	144677	2	0	0	118497	5	41101	0	178007	6	27418	0	24209	123901
28250	131	146	1	0	1	0	0	148313	7	0	0	112713	10	43474	0	210467	5	30777	0	24772	123441
28500	118	111	0	0	0	0	0	148261	5	0	0	114930	42	42883	0	183562	6	28474	0	25206	123214
28750	147	142	1	0	0	0	0	150017	0	0	0	113651	8	43163	0	181421	14	27358	0	26012	124598
29000	98	217	0	0	27	0	50	151681	11	1	0	117601	4	52284	0	188915	6	28901	0	26161	125811
29250	118	211	0	0	3	202	0	153299	4	13	0	118789	9	44331	0	191595	5	29055	0	25211	127765
29500	96	210	9	0	1	0	0	153506	10	0	0	124469	4	46852	0	190464	7	29240	0	26206	131136
29750	90	182	28	12	0	0	0	158607	19	0	0	117556	7	45553	0	195617	4	29015	0	26144	128729
30000	120	234	0	0	1	0	0	156271	28	0	0	123155	6	46899	38	203216	8	29954	0	26107	132195
30250	144	215	0	0	1	0	0	161239	20	0	0	124079	8	45929	0	206598	6	29691	0	26401	132216
30500	235	149	9	0	18	0	0	165943	5	0	0	122357	9	51302	0	204744	5	30737	0	26757	135060
30750	281	124	0	0	0	0	0	163022	7	0	0	149281	9	54350	0	198291	5	33343	0	27476	132684
31000	218	105	0	0	0	0	0	171953	6	34	0	143130	6	48840	0	210560	50	30476	1	27040	135694
31250	270	113	1	0	0	0	0	168392	5	0	0	128797	6	46555	15	207646	6	32195	0	27178	134664
31500	216	92	0	0	0	0	0	165511	2	0	0	129240	7	50348	0	225101	6	48793	0	28056	137123
31750	223	41	2	0	3	0	0	169336	18	29	0	131224	2	49483	0	214201	10	33021	0	28724	139952
32000	185	54	1	0	2	0	15	171560	5	0	0	129026	7	51763	0	212074	10	32163	0	28373	140678
32250	164	64	0	10	5	0	0	197276	3	0	0	126037	4	49759	0	217839	10	33850	0	28905	140562
32500	153	120	0	0	1	0	0	176879	0	0	0	131368	3	54498	0	225513	15	32683	22	30315	146164
32750	157	66	0	0	2	0	17	181522	1	10	0	134143	23	50569	0	214439	45	33063	0	28926	145104
33000	140	75	0	0	4	0	0	181958	10	0	0	131166	8	55210	0	221498	1584	37173	0	30376	145894
33250	133	134	0	0	1	0	0	177836	2	0	0	132443	4	52705	0	219517	5	35017	0	30243	145510
33500	148	104	0	0	2	0	0	179134	3	0	0	144891	3	52128	0	223114	5	36374	0	30340	147786
33750	126	98	0	0	5	0	0	183640	2	0	0	137564	6	53399	0	228303	6	35077	0	30128	147950
34000	101	100	0	0	3	0	0	187652	6	0	0	136818	4	56908	0	227490	5	34298	0	29952	149061
34250	109	136	0	0	1	28	0	188780	1	0	0	137089	3	56534	0	235392	19	36175	0	30476	157733
34500	141	143	0	0	105	0	0	187306	33	0	0	141681	7	57472	0	247684	9	35836	0	30603	151712
34750	130	155	0	31	0	0	0	186360	3	0	0	140090	1	58256	0	250247	5	35323	0	30955	153662
35000	128	186	0	0	1	0	0	195863	1	0	0	138063	19	55537	0	241212	5	37149	0	32788	153462
35250	162	185	0	0	13	0	0	218546	3	0	0	139035	7	63008	0	245105	6	36158	0	32328	154478
35500	132	222	1	0	3	1	0	195660	3	0	0	142278	5	58529	0	265797	5	36157	0	31807	155135
35750	198	260	0	0	1	0	0	198559	2	0	0	146253	4	57357	0	250262	5	36878	0	32912	154847
36000	266	2438	0	0	2	0	0	198852	2	0	0	144772	3	60231	0	255360	6	37915	0	34095	159757
36250	290	113	0	1622	1	0	0	202067	13	1	0	142419	10	62258	0	253866	5	36981	0	33957	161416
36500	290	152	0	0	27	0	0	265160	0	0	0	142565	5	63612	0	251358	4	38716	0	33971	158389
36750	191	136	0	2	1	0	0	210108	3	0	0	154163	7	63011	0	269914	5	38408	0	33178	162661
37000	186	120	0	0	2	0	0	207607	1	0	0	150542	7	62797	0	251397	8	40152	0	33272	162748
37250	191	143	0	0	2	0	0	213987	3	0	0	152188	7	61679	0	262469	5	41164	0	35298	163394
37500	157	189	0	0	2	0	0	210845	1	0	0	225553	6	63978	0	260364	5	39833	0	34114	162819
